"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Adm",0.695722222222212,0.00502671036790903,0.00433274784188544,0.0535830722344865,NA,"sender-agnostic"
"Igf1",0.584083333333328,0.00448362738426134,0.00378966485823774,0.0238250442099767,NA,"sender-agnostic"
"Furin",0.539694444444427,0.0028554163613874,0.00216145383536381,0.0264606370985951,NA,"sender-agnostic"
"Tnfsf9",0.643388888888885,0.00240774751653248,0.00171378499050888,0.0205516751136212,NA,"sender-agnostic"
"Angpt1",0.621833333333313,0.00153408314960226,0.000840120623578661,0.0209610901711795,NA,"sender-agnostic"
"Tnf",0.67694444444444,0.00144780575402315,0.000753843227999557,0.0155476913690421,NA,"sender-agnostic"
"Ifitm6",0.760388888888885,0.00136238866004894,0.000668426134025342,0.0122267793031029,NA,"sender-agnostic"
"Csf1",0.620972222222215,0.0012826561250792,0.000588693599055606,0.0128830126899948,NA,"sender-agnostic"
"Ebi3",0.662472222222231,0.00120760587049309,0.000513643344469493,0.0109203887402823,NA,"sender-agnostic"
"Il34",0.695888888888876,0.00116689250065176,0.000472929974628169,0.0124390475022296,NA,"sender-agnostic"
"Il15",0.660027777777766,0.00115589499194459,0.000461932465920999,0.00485978051312338,NA,"sender-agnostic"
"Fgf7",0.572999999999996,0.0011309849965383,0.000437022470514708,0.0170172857810837,NA,"sender-agnostic"
"Crlf1",0.667444444444432,0.00112509468717388,0.000431132161150289,0.0100837473735641,NA,"sender-agnostic"
"Nppb",0.714055555555555,0.00110598104137959,0.000412018515355993,0.00960984115760781,NA,"sender-agnostic"
"Tspan3",0.703416666666664,0.00108597558100086,0.000392013054977267,0.0108288419999037,NA,"sender-agnostic"
"Slc6a8",0.662138888888887,0.00102248381386202,0.000328521287838424,0.00697035478173658,NA,"sender-agnostic"
"Fgfrl1",0.633194444444442,0.000995114635703014,0.000301152109679419,0.00678682583366193,NA,"sender-agnostic"
"Has1",0.678083333333327,0.000993948648402882,0.000299986122379287,0.00655995995577238,NA,"sender-agnostic"
"Nrtn",0.623555555555538,0.000967074529500317,0.000273112003476723,0.00420856037891682,NA,"sender-agnostic"
"Tslp",0.639666666666655,0.000957508367311131,0.000263545841287536,0.00400730012402883,NA,"sender-agnostic"
"Igfbp3",0.640277777777771,0.000933226834055941,0.000239264308032346,0.00625441284595383,NA,"sender-agnostic"
"Gas6",0.643305555555551,0.000926780456951698,0.000232817930928104,0.00785363397132078,NA,"sender-agnostic"
"Serpinf1",0.658305555555554,0.000925988118350497,0.000232025592326902,0.0062310573627703,NA,"sender-agnostic"
"S100a4",0.633194444444445,0.000925188149534698,0.000231225623511103,0.00476013985389617,NA,"sender-agnostic"
"Col5a1",0.632166666666654,0.000917729336488945,0.000223766810465351,0.00304201124198075,NA,"sender-agnostic"
"Osm",0.6126111111111,0.000916801135929333,0.000222838609905738,-0.00324976486879766,NA,"sender-agnostic"
"Tgfb1",0.629472222222211,0.000913191459852649,0.000219228933829054,0.00115367562397461,NA,"sender-agnostic"
"Il1rn",0.649305555555547,0.000907268448691484,0.000213305922667889,0.00375864545647613,NA,"sender-agnostic"
"Lpl",0.621555555555554,0.000903359653977122,0.000209397127953527,0.00427027846183227,NA,"sender-agnostic"
"Bace2",0.632749999999994,0.000902879443675119,0.000208916917651524,0.00501793077605672,NA,"sender-agnostic"
"Dkk3",0.61602777777776,0.000901367792160556,0.000207405266136962,0.00452690704839467,NA,"sender-agnostic"
"Ang",0.616555555555561,0.000898905904217609,0.000204943378194014,0.00493436235737933,NA,"sender-agnostic"
"Col8a1",0.636750000000002,0.000889723583313282,0.000195761057289687,0.00416858716486885,NA,"sender-agnostic"
"Cntf",0.620805555555539,0.000887700937568064,0.00019373841154447,-0.00237878944647096,NA,"sender-agnostic"
"Postn",0.569722222222216,0.000887414924042376,0.000193452398018782,-0.000770797253389457,NA,"sender-agnostic"
"Neo1",0.642638888888885,0.000886468095235481,0.000192505569211887,0.00489990648190163,NA,"sender-agnostic"
"Lama4",0.627972222222219,0.000886351493882503,0.000192388967858909,0.00441470940690848,NA,"sender-agnostic"
"Vsig10",0.607194444444427,0.000880185000674414,0.00018622247465082,0.00350523801419788,NA,"sender-agnostic"
"Efnb2",0.617666666666655,0.00087335928766907,0.000179396761645475,0.00366084796718026,NA,"sender-agnostic"
"Col5a2",0.624361111111108,0.000872332790521935,0.00017837026449834,0.00164756605502125,NA,"sender-agnostic"
"Tgfbi",0.617805555555549,0.000871408438590788,0.000177445912567193,0.00377548121590835,NA,"sender-agnostic"
"Il1b",0.614194444444435,0.000868940393132704,0.00017497786710911,0.000929121623194547,NA,"sender-agnostic"
"Sema3a",0.613055555555546,0.000863947337582428,0.000169984811558834,0.00443226196898016,NA,"sender-agnostic"
"Mmp9",0.633361111111107,0.000863946019053664,0.000169983493030069,0.00195568518873728,NA,"sender-agnostic"
"Lgals1",0.630388888888888,0.000861302220450753,0.000167339694427159,0.00180446115404047,NA,"sender-agnostic"
"Efnb3",0.61658333333332,0.000860754486765846,0.000166791960742251,0.00339546870914637,NA,"sender-agnostic"
"Gpc3",0.631222222222223,0.000860691247562363,0.000166728721538768,0.00328863149648765,NA,"sender-agnostic"
"Sema6a",0.604916666666654,0.000855714190039203,0.000161751664015608,0.00303493854578308,NA,"sender-agnostic"
"Efnb1",0.608222222222209,0.000853640986496226,0.000159678460472631,0.00312524425652555,NA,"sender-agnostic"
"Cxcl12",0.615138888888876,0.000850939124182688,0.000156976598159094,-0.00433422624368071,NA,"sender-agnostic"
"Lamb2",0.609472222222226,0.000850091509765217,0.000156128983741623,0.00499773043663267,NA,"sender-agnostic"
"Sirpa",0.607138888888874,0.000848464056157444,0.000154501530133849,0.00326089572224162,NA,"sender-agnostic"
"Vcan",0.619194444444433,0.000846261617307139,0.000152299091283544,0.00360930390924977,NA,"sender-agnostic"
"Sirpb1b",0.591944444444426,0.000840521499584992,0.000146558973561397,0.00354140924511297,NA,"sender-agnostic"
"Fndc5",0.626555555555551,0.000840459404032416,0.000146496878008822,0.00358525477570423,NA,"sender-agnostic"
"Mpdz",0.619444444444443,0.000838656879351921,0.000144694353328326,0.00285975175717664,NA,"sender-agnostic"
"Mxra8",0.624000000000001,0.000837079741666014,0.00014311721564242,0.00324071495670855,NA,"sender-agnostic"
"Col6a2",0.598972222222216,0.000836270175283321,0.000142307649259726,0.00340876352072129,NA,"sender-agnostic"
"Itgb1",0.618861111111112,0.000834314886843458,0.000140352360819864,0.00240476573418889,NA,"sender-agnostic"
"S100a9",0.608222222222208,0.000832453470705216,0.000138490944681622,0.00314472255639559,NA,"sender-agnostic"
"Col3a1",0.597666666666652,0.000830385581227513,0.000136423055203918,0.00456048799133753,NA,"sender-agnostic"
