"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","approach"
"Flrt2",0.483137677132529,0.0097634555244869,0.006992604873337,0.00947946974107899,NA,"sender-agnostic"
"Col4a4",0.567494442900791,0.00953850865059744,0.00676765799944754,0.0428274124735901,NA,"sender-agnostic"
"Angptl4",0.513142539594343,0.0079798940669079,0.00520904341575799,0.0443313984125812,NA,"sender-agnostic"
"Epha4",0.524902750764091,0.00768542481549576,0.00491457416434585,0.0162068118881387,NA,"sender-agnostic"
"Il1b",0.519126840789097,0.00737286644048818,0.00460201578933828,0.0109065806404662,NA,"sender-agnostic"
"Lama2",0.548930258405109,0.00715884993031563,0.00438799927916573,0.0263863618194947,NA,"sender-agnostic"
"Dkk3",0.583821894970802,0.00683944403663488,0.00406859338548498,0.0165761007642733,NA,"sender-agnostic"
"Efemp2",0.529858988607937,0.00670349494191971,0.0039326442907698,0.00624510996532355,NA,"sender-agnostic"
"Flrt1",0.552736871353156,0.00626114236933692,0.00349029171818702,0.00881727350055023,NA,"sender-agnostic"
"Sema6d",0.567984162267279,0.00621041494938403,0.00343956429823412,0.00956974133531762,NA,"sender-agnostic"
"Grn",0.550104195609862,0.00616989086499113,0.00339904021384123,0.00352641950929649,NA,"sender-agnostic"
"Serpine1",0.527306196165584,0.00608328587587424,0.00331243522472434,0.00471951204177394,NA,"sender-agnostic"
"Adamts3",0.542720200055557,0.00606231111833003,0.00329146046718013,0.00543662354173396,NA,"sender-agnostic"
"Serpinf1",0.53491247568767,0.00588287663399159,0.00311202598284169,0.00683682238559236,NA,"sender-agnostic"
"Slit3",0.567011669908275,0.00585053996089842,0.00307968930974852,0.00827540049996961,NA,"sender-agnostic"
"Siglece",0.566726868574589,0.00578611426959214,0.00301526361844224,0.00782654394434322,NA,"sender-agnostic"
"Thbs2",0.53763545429285,0.00577326717640522,0.00300241652525531,0.00740289518559297,NA,"sender-agnostic"
"Efnb3",0.562354126146141,0.00575703666598689,0.00298618601483699,0.00872706755416749,NA,"sender-agnostic"
"Lama4",0.522530564045555,0.00574447131608441,0.00297362066493451,0.0102943758613196,NA,"sender-agnostic"
"Mfge8",0.552042233953868,0.00573202576589972,0.00296117511474982,0.00755239054080248,NA,"sender-agnostic"
"Sirpb1b",0.565962767435381,0.00571792820517529,0.00294707755402539,0.00877280526670379,NA,"sender-agnostic"
"Hsp90b1",0.563948318977475,0.00571521047183277,0.00294435982068286,0.00772262216274158,NA,"sender-agnostic"
"Neo1",0.560617532647932,0.00571254875853086,0.00294169810738096,0.0116045875023002,NA,"sender-agnostic"
"Lamb2",0.571759516532341,0.0056761918073243,0.0029053411561744,0.0108933613470585,NA,"sender-agnostic"
"Serpine2",0.541660878021661,0.00567282535904036,0.00290197470789045,0.00814790353245001,NA,"sender-agnostic"
"Gpc3",0.562034592942467,0.00566920292342919,0.00289835227227929,0.00794120975560325,NA,"sender-agnostic"
"S100a8",0.545297304806872,0.00566205771167747,0.00289120706052756,0.00864626680533701,NA,"sender-agnostic"
"Sdc2",0.56451444845789,0.0055949624976723,0.00282411184652239,0.00911457585095395,NA,"sender-agnostic"
"Efnb2",0.547346485134744,0.00556016377262533,0.00278931312147542,0.00690463885645463,NA,"sender-agnostic"
"Fgf1",0.564156710197247,0.00555669401315748,0.00278584336200757,0.0207780605592282,NA,"sender-agnostic"
"Adam15",0.559742289524854,0.00552264725363836,0.00275179660248846,0.00620682856371391,NA,"sender-agnostic"
